Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://bioportal.bioontology.org/ontologies/umls/cui,http://bioportal.bioontology.org/ontologies/umls/hasSTY,http://bioportal.bioontology.org/ontologies/umls/tui,http://chu-rouen.fr/cismef/CIM-10#CIM10_EXCLUS,http://chu-rouen.fr/cismef/CIM-10#DISPLAY_LABEL,http://chu-rouen.fr/cismef/CIM-10#T_ATT_CIM10_INCLUDE,http://chu-rouen.fr/cismef/CIM-10#T_ATT_CIM10_NOTE,http://chu-rouen.fr/cismef/CIM-10#TYPE,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/linguistics/gold/freeTranslation,http://purl.org/linguistics/gold/translation,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#broadMatch,http://www.w3.org/2004/02/skos/core#changeNote,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#exactMatch,http://www.w3.org/2004/02/skos/core#notation,http://www.w3.org/2004/02/skos/core#prefLabel;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#M53.83,M53.83 - autres dorsopathies précisées | région cervico-dorsale,autres dorsopathies précisées | région cervico-dorsale,,false,C0494969,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M53.8,C0494969,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M53.83,,http://purl.bioontology.org/ontology/ICD10/M53,autres dorsopathies précisées | région cervico-dorsale,http://purl.bioontology.org/ontology/ICD10/M53,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,M53.83,M53.83 - autres dorsopathies précisées | région cervico-dorsale;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#L40.3,L40.3 - pustulose palmaire et plantaire,pustulose palmaire et plantaire,,false,C0030246,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#L40,C0030246,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:L40.3,http://purl.bioontology.org/ontology/ICD10/L40.3,,pustulose palmaire et plantaire,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/L40.3,L40.3,L40.3 - pustulose palmaire et plantaire;;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#Q63.1,""Q63.1 - rein lobulé, soudé et en fer à cheval"",""rein lobulé, soudé et en fer à cheval"",,false,C0495589,http://purl.lirmm.fr/ontology/STY/T019,http://chu-rouen.fr/cismef/CIM-10#Q63,C0495589,http://purl.lirmm.fr/ontology/STY/T019,T019,,,,,,CIM-10:Q63.1,http://purl.bioontology.org/ontology/ICD10/Q63.1,,""rein lobulé, soudé et en fer à cheval"",,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/Q63.1,Q63.1,""Q63.1 - rein lobulé, soudé et en fer à cheval""";;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#V36.5,V36.5 - occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur | conducteur blessé dans un accident de la circulation,occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur | conducteur blessé dans un accident de la circulation,,false,C0496217,http://purl.lirmm.fr/ontology/STY/T037,http://chu-rouen.fr/cismef/CIM-10#V36,C0496217,http://purl.lirmm.fr/ontology/STY/T037,T037,,,,,,CIM-10:V36.5,http://purl.bioontology.org/ontology/ICD10/V36.5,,occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur | conducteur blessé dans un accident de la circulation,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/V36.5,V36.5,V36.5 - occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur | conducteur blessé dans un accident de la circulation;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#B60.2,B60.2 - naegleriase,naegleriase|méningo-encéphalite amibienne primitive,,false,C0276822,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#B60,C0276822,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:B60.2,http://purl.bioontology.org/ontology/ICD10/B60.2,,naegleriase|méningo-encéphalite amibienne primitive,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/B60.2,B60.2,B60.2 - naegleriase;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#M01.56,M01.56 - arthrite au cours d'autres maladies virales classées ailleurs | jambe,arthrite au cours d'autres maladies virales classées ailleurs | jambe,,false,C0694513,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#M01.5,C0694513,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:M01.56,,http://purl.bioontology.org/ontology/ICD10/M01,arthrite au cours d'autres maladies virales classées ailleurs | jambe,http://purl.bioontology.org/ontology/ICD10/M01,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,M01.56,M01.56 - arthrite au cours d'autres maladies virales classées ailleurs | jambe;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#W59.4,W59.4 - morsure ou écrasement par d'autres reptiles | rue ou route,morsure ou écrasement par d'autres reptiles | rue ou route,,false,C0479260,http://purl.lirmm.fr/ontology/STY/T037,http://chu-rouen.fr/cismef/CIM-10#W59,C0479260,http://purl.lirmm.fr/ontology/STY/T037,T037,,,,,,CIM-10:W59.4,,http://purl.bioontology.org/ontology/ICD10/W59,morsure ou écrasement par d'autres reptiles | rue ou route,http://purl.bioontology.org/ontology/ICD10/W59,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,,W59.4,W59.4 - morsure ou écrasement par d'autres reptiles | rue ou route;;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#D63.0,D63.0 - anémie au cours de maladies tumorales,anémie au cours de maladies tumorales,,false,C0475534,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#D63,C0475534,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:D63.0,http://purl.bioontology.org/ontology/ICD10/D63.0,,anémie au cours de maladies tumorales,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/D63.0,D63.0,D63.0 - anémie au cours de maladies tumorales;;;;;;;;;;;;;;;;
"http://chu-rouen.fr/cismef/CIM-10#Q30.2,""Q30.2 - fissure, échancrure et fente nasales"",""fissure, échancrure et fente nasales"",,false,C0495528,http://purl.lirmm.fr/ontology/STY/T019,http://chu-rouen.fr/cismef/CIM-10#Q30,C0495528,http://purl.lirmm.fr/ontology/STY/T019,T019,,,,,,CIM-10:Q30.2,http://purl.bioontology.org/ontology/ICD10/Q30.2,,""fissure, échancrure et fente nasales"",,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/Q30.2,Q30.2,""Q30.2 - fissure, échancrure et fente nasales""";;;;;;;;;;;;;;;;
http://chu-rouen.fr/cismef/CIM-10#L56.4,L56.4 - lucite polymorphe,lucite polymorphe,,false,C0031736,http://purl.lirmm.fr/ontology/STY/T047,http://chu-rouen.fr/cismef/CIM-10#L56,C0031736,http://purl.lirmm.fr/ontology/STY/T047,T047,,,,,,CIM-10:L56.4,http://purl.bioontology.org/ontology/ICD10/L56.4,,lucite polymorphe,,Le LIRMM a enrichi ce concept en CUI et TUI par un processus automatique,,http://purl.bioontology.org/ontology/ICD10/L56.4,L56.4,L56.4 - lucite polymorphe;;;;;;;;;;;;;;;;
